S NO.,Date,Nifty50_Open,SPOTRATE_CLOSE,SR_OUTPUT,SP500_CLOSE,SP500_OUTPUT,NASDAQ100_CLOSE,NASDAQ_OUTPUT,CRUDE_OIL_CLOSE,CRUDE_OIL_OUTPUT,LSE_CLOSE,LSE_OUTPUT
113,03-02-2022,17767.75,14.84,0.47,4477.44,1.62,14501.11,2.66,90.27,4.27,7194,2.41
114,02-02-2022,17706.2,14.85,0.34,4589.32,1.12,15139.74,1.57,88.26,3.01,7252,2.03
115,01-02-2022,17529.45,15.01,1,4546.54,1.49,15019.68,1.93,88.2,2.68,7144,3.45
116,31-01-2022,17301.05,14.69,0.48,4515.55,2.33,14930.05,3.4,88.15,2.37,7220,4.09
117,28-01-2022,17208.3,14.59,2.07,4431.85,3.27,14454.61,4.16,86.82,2.78,6978,3.23
118,27-01-2022,17062,15.41,0.2,4326.5,2.77,14003.11,3.2,86.61,2.71,6958,3.46
119,25-01-2022,17001.55,16.39,1.42,4356.45,2.89,14149.12,2.68,85.6,3.28,7410,1.86
120,24-01-2022,17575.15,16.25,0.12,4410.13,4.61,14509.58,5.89,83.31,5.12,7362,3.07
121,21-01-2022,17613.7,15.96,0.19,4397.93,2.26,14438.4,3.02,85.14,3.36,7532,1.61
122,20-01-2022,17921,16.17,0.43,4482.73,2.77,14846.46,3.47,86.9,2.12,7544,2.31
123,19-01-2022,18129.2,16.22,5.81,4532.76,1.8,15047.84,2.28,86.96,2.5,7440,2.06
124,18-01-2022,18337.2,15.22,0.46,4577.34,1.39,15210.76,1.73,85.43,3.75,7424,1.27
125,17-01-2022,18235.65,15.51,0.52,4620.1,1.24,15411.18,1.58,83.69,1.22,7432,1.86
126,14-01-2022,18185,15.51,1.16,4662.85,1.09,15611.59,1.43,83.82,3.52,7424,2.08
127,13-01-2022,18257,15.35,1.11,4659.02,2.02,15495.62,3.38,82.12,1.9,7422,2.57
128,12-01-2022,18170.4,15.42,0.06,4726.35,0.89,15905.1,1.27,82.64,2.38,7362,2.22
129,11-01-2022,17997.75,15.05,1.06,4713.07,1.64,15844.12,2.27,81.22,4.12,7238,1.39
130,10-01-2022,17913.3,14.97,1.98,4670.29,1.98,15614.43,3.05,78.23,2.08,7172,1.73
131,07-01-2022,17797.6,14.73,1.03,4677.02,0.97,15592.19,1.98,78.9,2.48,7068,3.19
132,06-01-2022,17768.5,14.61,2.4,4696.05,1.15,15765.36,1.87,79.46,4.57,7030,3.98
133,05-01-2022,17820.1,15.68,0.45,4700.58,2.09,15771.77,3.08,77.85,2.71,7188,3.28
134,04-01-2022,17681.4,15.11,0.66,4793.54,0.93,16279.73,2.24,76.99,2.56,7068,2.5
135,03-01-2022,17387.15,15.02,5.13,4796.56,0.81,16501.77,1.21,76.08,2.95,6999,2
136,31-12-2021,17244.5,15.04,2.8,4766.18,0.44,16320.08,0.9,75.21,2.84,6930,1.48
137,30-12-2021,17201.45,15.06,0.47,4778.73,0.7,16429.1,0.94,76.99,2.19,6960,1.8
138,29-12-2021,17220.1,14.92,1.61,4793.06,0.54,16491.01,0.93,76.56,2.67,7068,1.45
139,28-12-2021,17177.6,15.52,0.52,4786.36,0.56,16488.66,0.9,75.98,1.84,7026,1.32
140,27-12-2021,16937.75,15.24,0.46,4791.19,1.21,16567.5,1.26,75.57,4.85,7005,1.25
